,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.14, 17.9  /  15.6  /  4.6 ,50.1%,11.7%,250,0.1%,"29,642"
1,2,Sage,0.92, 13.7  /  14.9  /  7.2 ,50.0%,10.3%,192,0.1%,"26,119"
2,3,Jett,1.1, 17.3  /  15.8  /  3.9 ,49.7%,10.1%,242,0.1%,"25,467"
3,4,Omen,0.98, 14.9  /  15.2  /  6.9 ,48.4%,9.6%,207,0.1%,"24,210"
4,5,Killjoy,0.98, 14.1  /  14.4  /  3.9 ,49.0%,6.6%,199,0.2%,"16,703"
5,6,Brimstone,0.96, 14.5  /  15  /  8.3 ,51.3%,5.9%,205,0.1%,"14,851"
6,7,Raze,1.05, 16.5  /  15.7  /  4.8 ,49.7%,5.4%,239,0.1%,"13,641"
7,8,Gekko,0.95, 14.3  /  15  /  5.1 ,50.0%,5.4%,197,0.1%,"13,542"
8,9,Sova,1, 14.7  /  14.7  /  5.5 ,50.0%,5.3%,206,0.1%,"13,290"
9,10,Skye,0.94, 14.2  /  15.1  /  7.4 ,47.9%,3.8%,199,0.1%,"9,643"
10,11,Phoenix,1.12, 17.2  /  15.3  /  4.6 ,51.1%,3.7%,243,0.1%,"9,387"
11,12,Cypher,1, 14.6  /  14.5  /  4.9 ,48.6%,3.5%,201,0.1%,"8,871"
12,13,Fade,0.93, 14.1  /  15.1  /  6.5 ,49.2%,3.4%,199,0.1%,"8,624"
13,14,KAY/O,0.91, 14.2  /  15.6  /  8.7 ,45.1%,2.8%,204,0.1%,"7,135"
14,15,Breach,0.94, 14.6  /  15.5  /  6.5 ,49.0%,2.7%,205,0.1%,"6,704"
15,16,Chamber,1.08, 16.1  /  14.9  /  3.1 ,48.0%,2.6%,221,0.1%,"6,614"
16,17,Neon,0.98, 16  /  16.3  /  4.2 ,47.7%,1.7%,227,0.1%,"4,221"
17,18,Astra,1.01, 14.8  /  14.6  /  6.2 ,48.7%,1.6%,205,0.1%,"4,164"
18,19,Viper,0.97, 14.4  /  14.8  /  5.6 ,47.8%,1.6%,202,0.1%,"4,064"
19,20,Yoru,1.01, 15.7  /  15.6  /  4.3 ,46.5%,1.6%,220,0.1%,"3,979"
20,21,Harbor,0.92, 13.9  /  15.2  /  6.1 ,46.6%,0.7%,196,0.1%,"1,760"
