,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Reyna,1.18, 18.2  /  15.4  /  4.4 ,50.4%,11.5%,252,0.1%,"935,497",Duelist
1,2,Jett,1.12, 17.6  /  15.7  /  3.8 ,49.7%,10.2%,245,0.1%,"829,153",Duelist
2,3,Omen,0.99, 14.9  /  15.1  /  6.7 ,49.2%,9.1%,206,0.1%,"741,861",Controller
3,4,Raze,1.08, 16.9  /  15.7  /  5 ,50.4%,8.0%,246,0.1%,"654,285",Duelist
4,5,Sage,0.92, 13.6  /  14.8  /  7 ,50.5%,7.9%,190,0.1%,"645,287",Sentinel
5,6,Killjoy,1.01, 14.4  /  14.2  /  3.8 ,50.2%,6.8%,201,0.1%,"557,147",Sentinel
6,7,Skye,0.94, 14.1  /  14.9  /  7.9 ,49.4%,5.9%,198,0.1%,"478,002",Initiator
7,8,Gekko,0.94, 14.1  /  15  /  4.8 ,50.0%,5.5%,194,0.1%,"448,011",Initiator
8,9,Chamber,1.11, 16.3  /  14.7  /  3 ,49.7%,4.4%,222,0.1%,"359,350",Sentinel
9,10,Brimstone,0.97, 14.5  /  14.9  /  8.1 ,50.7%,4.4%,207,0.1%,"357,124",Controller
10,11,Breach,0.95, 14.5  /  15.3  /  6.7 ,49.4%,4.0%,202,0.1%,"322,524",Initiator
11,12,Phoenix,1.12, 17.1  /  15.3  /  4.6 ,50.0%,3.2%,241,0.1%,"261,810",Duelist
12,13,Cypher,1.0, 14.5  /  14.5  /  4.7 ,48.5%,2.7%,200,0.1%,"217,642",Sentinel
13,14,Fade,0.95, 14.2  /  15  /  6.3 ,49.1%,2.6%,199,0.1%,"215,010",Initiator
14,15,Viper,1.01, 14.7  /  14.6  /  5.6 ,49.7%,2.3%,207,0.1%,"190,954",Controller
15,16,KAY/O,0.91, 14.1  /  15.5  /  8.8 ,45.5%,2.3%,203,0.1%,"190,950",Initiator
16,17,Sova,0.98, 14.5  /  14.8  /  5.4 ,48.4%,2.2%,205,0.1%,"182,481",Initiator
17,18,Neon,1.0, 16.3  /  16.2  /  4.2 ,47.9%,2.0%,230,0.1%,"159,320",Duelist
18,19,Harbor,0.93, 14  /  15.2  /  6 ,47.3%,2.0%,195,0.1%,"158,880",Controller
19,20,Astra,1.04, 15.1  /  14.5  /  6 ,50.3%,1.6%,208,0.1%,"132,763",Controller
20,21,Yoru,1.0, 15.6  /  15.6  /  4.4 ,46.1%,1.3%,218,0.1%,"107,557",Duelist
