,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.09, 17.5  /  16  /  3.8 ,49.2%,13.2%,241,0.1%,"916,044"
1,2,Omen,0.98, 14.9  /  15.1  /  8.1 ,48.5%,10.7%,205,0.1%,"741,894"
2,3,Reyna,1.13, 17.7  /  15.7  /  4.6 ,50.1%,10.7%,245,0.1%,"738,789"
3,4,Killjoy,1, 14.3  /  14.3  /  3.8 ,49.5%,10.6%,199,0.1%,"732,417"
4,5,Sova,1.03, 14.9  /  14.5  /  6 ,50.4%,8.8%,209,0.1%,"608,208"
5,6,Sage,0.93, 13.8  /  14.9  /  7.1 ,50.3%,7.1%,191,0.1%,"492,005"
6,7,Brimstone,0.97, 14.5  /  15  /  9.3 ,51.5%,5.6%,206,0.1%,"384,951"
7,8,Raze,1.03, 16.5  /  16  /  5 ,49.2%,5.5%,238,0.1%,"381,510"
8,9,KAY/O,0.92, 14.2  /  15.5  /  8.8 ,45.7%,4.1%,202,0.1%,"283,351"
9,10,Skye,0.93, 14.2  /  15.2  /  7.8 ,48.6%,3.6%,198,0.1%,"252,875"
10,11,Phoenix,1.12, 17.4  /  15.5  /  4.9 ,51.2%,3.4%,243,0.1%,"233,347"
11,12,Chamber,1.08, 16.3  /  15.1  /  3 ,48.2%,2.9%,220,0.1%,"199,011"
12,13,Cypher,1, 14.6  /  14.5  /  5 ,49.0%,2.8%,198,0.1%,"194,079"
13,14,Gekko,0.92, 14  /  15.3  /  4.8 ,47.5%,2.3%,192,0.1%,"157,320"
14,15,Fade,0.95, 14.3  /  15.1  /  6.5 ,48.7%,2.2%,199,0.1%,"153,622"
15,16,Astra,1.04, 15.3  /  14.7  /  7.3 ,50.0%,1.7%,209,0.1%,"119,236"
16,17,Breach,0.93, 14.4  /  15.5  /  6.8 ,47.4%,1.4%,201,0.1%,"98,920"
17,18,Viper,0.98, 14.5  /  14.8  /  5.8 ,48.1%,1.2%,202,0.1%,"81,870"
18,19,Yoru,1, 15.8  /  15.7  /  4.5 ,46.4%,1.0%,218,0.1%,"71,124"
19,20,Neon,0.97, 15.8  /  16.4  /  4.1 ,46.6%,1.0%,222,0.1%,"66,017"
20,21,Harbor,0.91, 13.9  /  15.3  /  6.2 ,45.3%,0.4%,193,0.1%,"26,964"
