,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.07, 17.3  /  16.3  /  3.8 ,48.6%,12.6%,238,0.1%,"475,776"
1,2,Sage,0.97, 14.5  /  15  /  7.6 ,51.0%,11.8%,201,0.1%,"448,384"
2,3,Raze,1.05, 17  /  16.3  /  5 ,49.8%,11.1%,244,0.1%,"421,978"
3,4,Omen,1, 15.2  /  15.2  /  8 ,48.8%,11.0%,208,0.1%,"416,265"
4,5,Skye,0.96, 14.6  /  15.2  /  8.1 ,49.4%,9.2%,200,0.1%,"349,392"
5,6,Reyna,1.12, 17.7  /  15.8  /  4.4 ,49.8%,8.0%,243,0.1%,"303,467"
6,7,Cypher,1.02, 15  /  14.7  /  4.7 ,48.5%,5.8%,202,0.1%,"220,122"
7,8,Killjoy,1.02, 14.9  /  14.5  /  3.7 ,49.2%,5.6%,205,0.1%,"214,028"
8,9,Astra,1.05, 15.5  /  14.8  /  7.2 ,49.3%,3.7%,211,0.1%,"141,184"
9,10,Brimstone,0.98, 14.9  /  15.1  /  9.6 ,50.9%,3.6%,211,0.1%,"135,928"
10,11,Chamber,1.07, 16.4  /  15.2  /  2.9 ,47.2%,2.6%,219,0.1%,"99,921"
11,12,Gekko,0.95, 14.5  /  15.3  /  4.8 ,48.7%,2.4%,196,0.1%,"91,277"
12,13,KAY/O,0.92, 14.5  /  15.7  /  9.2 ,45.0%,2.3%,205,0.1%,"87,162"
13,14,Breach,0.95, 14.6  /  15.4  /  7.4 ,48.2%,2.3%,200,0.1%,"87,025"
14,15,Phoenix,1.09, 17.1  /  15.7  /  4.8 ,49.6%,1.9%,237,0.1%,"72,734"
15,16,Fade,0.96, 14.7  /  15.2  /  6.3 ,48.3%,1.7%,201,0.1%,"64,061"
16,17,Viper,1.03, 15.3  /  14.8  /  5.8 ,48.5%,1.4%,212,0.1%,"53,045"
17,18,Sova,0.99, 14.9  /  15  /  5.6 ,48.0%,1.1%,207,0.1%,"42,487"
18,19,Yoru,1.01, 16  /  15.8  /  4.6 ,46.5%,0.9%,220,0.1%,"32,683"
19,20,Neon,0.96, 15.8  /  16.6  /  4.2 ,46.1%,0.6%,221,0.1%,"22,914"
20,21,Harbor,0.92, 14.1  /  15.4  /  6.2 ,43.1%,0.3%,195,0.1%,"11,045"
