,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Raze,1.05, 17  /  16.2  /  4.7 ,49.4%,13.5%,242,0.2%,"120,834"
1,2,Skye,0.97, 14.5  /  15.1  /  7.6 ,49.6%,12.4%,197,0.1%,"110,914"
2,3,Brimstone,0.99, 14.7  /  14.9  /  8.8 ,50.5%,12.3%,204,0.1%,"109,637"
3,4,Jett,1.09, 17.5  /  16.1  /  3.4 ,48.8%,11.8%,237,0.2%,"105,535"
4,5,Reyna,1.14, 17.8  /  15.6  /  4.1 ,50.0%,8.0%,241,0.2%,"71,788"
5,6,Cypher,1, 14.6  /  14.6  /  4.5 ,48.9%,5.7%,194,0.1%,"51,331"
6,7,Chamber,1.09, 16.3  /  15  /  2.6 ,48.8%,5.7%,215,0.2%,"50,794"
7,8,Deadlock,1.02, 15.4  /  15.1  /  3.8 ,49.5%,4.2%,210,0.1%,"37,975"
8,9,Omen,0.97, 14.9  /  15.3  /  7.6 ,46.7%,4.2%,202,0.1%,"37,924"
9,10,Sage,0.95, 14.2  /  14.8  /  6.7 ,51.7%,4.0%,193,0.1%,"36,006"
10,11,Sova,1.01, 14.9  /  14.7  /  5.8 ,49.5%,3.3%,205,0.1%,"29,660"
11,12,Killjoy,1, 14.4  /  14.5  /  3.3 ,48.1%,3.1%,196,0.1%,"28,109"
12,13,Phoenix,1.1, 17.2  /  15.6  /  4.3 ,49.9%,2.0%,236,0.2%,"18,221"
13,14,Fade,0.98, 14.7  /  15  /  6.5 ,48.9%,1.9%,199,0.1%,"16,806"
14,15,Yoru,1.05, 16.7  /  15.9  /  4.2 ,48.7%,1.5%,227,0.2%,"13,123"
15,16,Viper,1.06, 15.7  /  14.8  /  5.6 ,50.0%,1.5%,214,0.1%,"13,109"
16,17,Astra,1.02, 15.1  /  14.8  /  6.9 ,47.4%,1.3%,203,0.1%,"11,922"
17,18,Gekko,0.95, 14.4  /  15.2  /  4.6 ,48.6%,1.0%,192,0.1%,"9,011"
18,19,Breach,0.94, 14.5  /  15.5  /  7.1 ,46.7%,0.9%,199,0.1%,"7,971"
19,20,KAY/O,0.92, 14.3  /  15.6  /  9.1 ,43.4%,0.8%,202,0.1%,"7,052"
20,21,Neon,0.98, 16.2  /  16.5  /  4.1 ,47.6%,0.4%,223,0.2%,"3,555"
21,22,Harbor,0.93, 14.2  /  15.3  /  5.9 ,43.1%,0.3%,193,0.1%,"2,730"
