,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.08, 17.4  /  16.1  /  3.7 ,48.9%,14.2%,239,0.1%,"11,209"
1,2,Reyna,1.15, 18  /  15.7  /  4.6 ,50.4%,9.6%,249,0.1%,"7,564"
2,3,Fade,0.97, 14.7  /  15.3  /  6.7 ,48.5%,8.5%,203,0.1%,"6,711"
3,4,Gekko,0.97, 14.7  /  15.2  /  5.6 ,49.6%,7.2%,198,0.1%,"5,688"
4,5,Viper,1.03, 15.2  /  14.7  /  6.4 ,50.7%,6.8%,209,0.2%,"5,371"
5,6,Cypher,1.02, 15.2  /  14.8  /  4.8 ,50.0%,6.4%,205,0.1%,"5,072"
6,7,Killjoy,1.03, 15  /  14.6  /  3.9 ,48.6%,6.2%,206,0.2%,"4,857"
7,8,Astra,1.03, 15  /  14.6  /  6.9 ,49.4%,6.0%,204,0.2%,"4,698"
8,9,Sage,0.94, 14.1  /  15  /  7.2 ,50.5%,5.2%,195,0.1%,"4,130"
9,10,Phoenix,1.13, 17.8  /  15.7  /  5.1 ,51.9%,4.7%,246,0.1%,"3,722"
10,11,Raze,1.05, 16.9  /  16  /  4.9 ,51.2%,3.9%,240,0.1%,"3,098"
11,12,Harbor,0.92, 14  /  15.3  /  6.4 ,45.0%,3.6%,191,0.2%,"2,833"
12,13,KAY/O,0.93, 14.6  /  15.6  /  9 ,44.5%,3.1%,205,0.1%,"2,479"
13,14,Skye,0.94, 14.6  /  15.5  /  8 ,47.1%,3.0%,200,0.1%,"2,399"
14,15,Brimstone,0.98, 14.7  /  15  /  9.2 ,49.6%,2.8%,206,0.2%,"2,204"
15,16,Chamber,1.11, 16.6  /  15  /  2.9 ,50.3%,2.6%,220,0.1%,"2,074"
16,17,Sova,1, 14.9  /  14.9  /  5.8 ,50.6%,1.6%,207,0.1%,"1,281"
17,18,Omen,1.02, 15.7  /  15.3  /  7.4 ,48.8%,1.5%,212,0.1%,"1,196"
18,19,Yoru,1.04, 16.9  /  16.3  /  4.6 ,49.4%,1.2%,230,0.1%,919
19,20,Neon,0.98, 16.4  /  16.7  /  4.2 ,49.2%,1.1%,230,0.1%,880
20,21,Breach,0.95, 15  /  15.8  /  7.7 ,50.2%,0.7%,205,0.1%,548
