,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.08, 17.5  /  16.3  /  3.7 ,48.8%,13.6%,240,0.1%,"276,426",Duelist
1,2,Raze,1.05, 17.1  /  16.3  /  5 ,49.8%,12.1%,246,0.1%,"247,496",Duelist
2,3,Sage,0.98, 14.8  /  15.1  /  7.5 ,50.5%,11.9%,204,0.1%,"242,044",Sentinel
3,4,Omen,1.0, 15.2  /  15.1  /  8.4 ,48.9%,11.5%,207,0.1%,"235,045",Controller
4,5,Skye,0.97, 14.6  /  15.1  /  8.1 ,49.4%,10.5%,201,0.1%,"213,489",Initiator
5,6,Reyna,1.12, 17.8  /  15.8  /  4.4 ,49.5%,7.4%,243,0.1%,"150,955",Duelist
6,7,Cypher,1.02, 15  /  14.7  /  4.6 ,48.5%,5.9%,202,0.1%,"119,691",Sentinel
7,8,Killjoy,1.04, 15.1  /  14.5  /  3.6 ,49.7%,5.6%,207,0.1%,"114,503",Sentinel
8,9,Astra,1.06, 15.6  /  14.8  /  7.4 ,49.0%,4.2%,211,0.1%,"85,006",Controller
9,10,Brimstone,1.0, 15  /  15.1  /  10 ,51.9%,3.0%,212,0.1%,"60,365",Controller
10,11,Chamber,1.08, 16.5  /  15.3  /  2.8 ,46.8%,2.4%,220,0.1%,"49,912",Sentinel
11,12,Breach,0.95, 14.6  /  15.3  /  7.7 ,47.5%,2.2%,200,0.1%,"44,762",Initiator
12,13,KAY/O,0.93, 14.6  /  15.7  /  9.4 ,44.5%,1.9%,207,0.1%,"38,410",Initiator
13,14,Gekko,0.96, 14.6  /  15.2  /  4.8 ,48.2%,1.9%,197,0.1%,"37,901",Initiator
14,15,Phoenix,1.08, 17  /  15.8  /  4.8 ,49.2%,1.5%,237,0.1%,"29,710",Duelist
15,16,Fade,0.97, 14.7  /  15.2  /  6.3 ,48.0%,1.3%,202,0.1%,"27,074",Initiator
16,17,Viper,1.05, 15.6  /  14.9  /  5.9 ,47.7%,1.1%,216,0.1%,"21,666",Controller
17,18,Yoru,1.02, 16.2  /  15.8  /  4.7 ,46.9%,0.8%,223,0.1%,"16,500",Duelist
18,19,Sova,0.99, 14.9  /  15.1  /  5.7 ,47.1%,0.7%,208,0.1%,"13,340",Initiator
19,20,Neon,0.97, 16  /  16.5  /  4.2 ,46.7%,0.5%,223,0.1%,"9,425",Duelist
20,21,Harbor,0.93, 14.3  /  15.4  /  6.4 ,44.0%,0.2%,196,0.1%,"4,114",Controller
