,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.07, 17.4  /  16.2  /  3.5 ,49.2%,19.0%,237,0.1%,"3,380",Duelist
1,2,Omen,0.99, 15.1  /  15.3  /  10.3 ,45.2%,13.9%,206,0.1%,"2,477",Controller
2,3,Sova,1.05, 15.2  /  14.4  /  6.4 ,48.7%,13.6%,211,0.2%,"2,413",Initiator
3,4,Killjoy,1.08, 15.5  /  14.4  /  3.7 ,50.8%,12.7%,212,0.2%,"2,251",Sentinel
4,5,Gekko,0.95, 14.2  /  15  /  5.6 ,50.8%,8.2%,193,0.1%,"1,457",Initiator
5,6,Reyna,1.11, 17.5  /  15.8  /  4.5 ,49.2%,7.6%,239,0.1%,"1,348",Duelist
6,7,KAY/O,0.94, 14.7  /  15.7  /  10.6 ,45.4%,5.0%,206,0.1%,893,Initiator
7,8,Cypher,1.02, 15.1  /  14.8  /  5.2 ,50.8%,3.4%,200,0.2%,597,Sentinel
8,9,Raze,1.05, 17.5  /  16.6  /  5.4 ,48.8%,3.0%,245,0.1%,537,Duelist
9,10,Astra,1.02, 15.3  /  15.1  /  8.9 ,47.0%,2.5%,207,0.1%,447,Controller
10,11,Phoenix,1.08, 16.9  /  15.7  /  4.9 ,53.7%,2.4%,235,0.1%,423,Duelist
11,12,Brimstone,1.03, 14.8  /  14.4  /  11.6 ,54.2%,2.2%,212,0.2%,393,Controller
12,13,Fade,1.02, 15.6  /  15.2  /  7.4 ,53.5%,1.7%,210,0.1%,301,Initiator
13,14,Sage,1.08, 15.8  /  14.6  /  6.8 ,56.6%,1.5%,216,0.1%,267,Sentinel
14,15,Skye,0.95, 15  /  15.7  /  8.1 ,45.9%,1.0%,203,0.1%,172,Initiator
15,16,Chamber,1.18, 17.1  /  14.5  /  3 ,52.2%,0.9%,229,0.1%,157,Sentinel
16,17,Yoru,1.1, 18.1  /  16.5  /  5.2 ,50.0%,0.7%,238,0.1%,126,Duelist
17,18,Breach,0.98, 15.3  /  15.6  /  7.5 ,47.7%,0.2%,211,0.1%,44,Initiator
18,19,Neon,1.13, 17.9  /  15.8  /  5.1 ,47.4%,0.2%,242,0.1%,38,Duelist
19,20,Harbor,0.93, 13.9  /  15  /  7.6 ,60.0%,0.2%,183,0.1%,35,Controller
20,21,Viper,0.93, 14  /  15.1  /  6.5 ,60.0%,0.1%,186,10,,Controller
