,Rank,Agent,KD,KDA,Win %,Pick %,Avg. Score,First Blood %,Matches
0,1,Sage,0.72, 9.5  /  13.3  /  5 ,52.8%,14.5%,148,0.1%,"60,180"
1,2,Reyna,1.05, 14  /  13.3  /  3.7 ,53.1%,11.3%,218,0.2%,"46,869"
2,3,Raze,0.87, 11.8  /  13.5  /  4.1 ,49.5%,7.9%,192,0.1%,"32,844"
3,4,Jett,0.94, 12.3  /  13.1  /  3 ,50.2%,7.5%,195,0.2%,"31,416"
4,5,Yoru,0.81, 11.3  /  13.9  /  3.6 ,47.2%,6.4%,172,0.1%,"26,571"
5,6,Fade,0.74, 10.1  /  13.5  /  5.1 ,55.9%,5.4%,158,0.1%,"22,338"
6,7,Phoenix,0.92, 11.7  /  12.8  /  3.5 ,52.1%,5.2%,186,0.2%,"21,828"
7,8,Omen,0.8, 11.2  /  14  /  3.6 ,48.5%,5.0%,171,0.1%,"20,706"
8,9,Viper,0.77, 10  /  13  /  4.1 ,51.1%,4.9%,160,0.1%,"20,247"
9,10,Sova,0.77, 10.2  /  13.2  /  4 ,53.6%,4.8%,162,0.1%,"19,788"
10,11,Neon,0.8, 10.9  /  13.7  /  3.4 ,47.5%,4.6%,175,0.2%,"19,125"
11,12,Chamber,0.96, 12.2  /  12.8  /  3.3 ,48.8%,4.0%,189,0.2%,"16,728"
12,13,Brimstone,0.8, 9.8  /  12.2  /  4 ,49.0%,3.8%,166,0.1%,"15,912"
13,14,Killjoy,0.78, 9.5  /  12.3  /  3.3 ,51.2%,3.6%,158,0.1%,"15,045"
14,15,KAY/O,0.73, 9.9  /  13.6  /  6.1 ,48.2%,2.8%,161,0.1%,"11,526"
15,16,Skye,0.83, 11  /  13.2  /  5.5 ,52.3%,2.7%,170,0.1%,"11,118"
16,17,Cypher,0.82, 10.2  /  12.4  /  4 ,52.4%,2.3%,160,0.1%,"9,435"
17,18,Breach,0.8, 9.7  /  12.1  /  3.9 ,41.1%,1.4%,166,0.1%,"5,712"
18,19,Harbor,0.72, 9.7  /  13.5  /  3.3 ,45.5%,1.4%,153,0.1%,"5,712"
19,20,Astra,0.81, 9  /  11.1  /  2.7 ,38.5%,0.8%,152,0.1%,"3,315"
