,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.78, 11.2  /  14.4  /  5.9 ,50.4%,12.0%,164,0.1%,"120,648",Sentinel
1,2,Reyna,1.0, 14.9  /  14.8  /  4.4 ,49.9%,10.6%,216,0.2%,"106,284",Duelist
2,3,Raze,0.92, 13.7  /  14.9  /  4.7 ,50.1%,8.0%,208,0.1%,"80,272",Duelist
3,4,Omen,0.88, 12.9  /  14.7  /  4.9 ,49.5%,6.6%,186,0.1%,"66,002",Controller
4,5,Jett,0.92, 13.7  /  15  /  3.7 ,48.5%,5.4%,200,0.2%,"54,597",Duelist
5,6,Deadlock,0.86, 12.6  /  14.7  /  3.9 ,49.4%,5.4%,187,0.1%,"54,463",Sentinel
6,7,Skye,0.81, 11.7  /  14.6  /  6.6 ,50.0%,5.2%,174,0.1%,"52,187",Initiator
7,8,Gekko,0.79, 11.7  /  14.8  /  4.4 ,49.8%,4.9%,170,0.1%,"48,979",Initiator
8,9,Brimstone,0.88, 12.7  /  14.4  /  6 ,50.8%,4.7%,187,0.1%,"46,909",Controller
9,10,Phoenix,0.92, 13.5  /  14.7  /  4.2 ,48.2%,4.5%,199,0.2%,"44,872",Duelist
10,11,Yoru,0.86, 12.8  /  14.9  /  4 ,46.9%,4.3%,186,0.1%,"42,921",Duelist
11,12,Killjoy,0.87, 12  /  13.8  /  4 ,51.5%,4.1%,178,0.1%,"41,103",Sentinel
12,13,Neon,0.86, 13.2  /  15.3  /  3.9 ,48.2%,3.6%,194,0.2%,"36,627",Duelist
13,14,Fade,0.78, 11.5  /  14.8  /  5.7 ,49.0%,3.6%,171,0.1%,"36,091",Initiator
14,15,Sova,0.81, 11.9  /  14.6  /  4.7 ,48.3%,3.5%,176,0.1%,"35,116",Initiator
15,16,Viper,0.83, 12.1  /  14.4  /  4.6 ,49.3%,3.2%,177,0.1%,"31,918",Controller
16,17,Cypher,0.87, 12.2  /  14  /  4.7 ,49.9%,3.1%,176,0.1%,"30,990",Sentinel
17,18,KAY/O,0.78, 11.7  /  15  /  7.1 ,46.7%,2.4%,176,0.1%,"24,059",Initiator
18,19,Chamber,0.91, 13.2  /  14.4  /  3.3 ,47.7%,2.2%,188,0.1%,"22,481",Sentinel
19,20,Breach,0.84, 12.6  /  14.9  /  5.1 ,49.5%,1.6%,184,0.1%,"16,199",Initiator
20,21,Harbor,0.79, 11.7  /  14.8  /  4.9 ,46.5%,0.9%,172,0.1%,"8,752",Controller
21,22,Astra,0.89, 12.5  /  14  /  4.6 ,49.3%,0.6%,182,0.1%,"5,672",Controller
