,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.84, 12  /  14.4  /  6.7 ,50.4%,13.0%,176,0.1%,"21,466"
1,2,Reyna,1.09, 16.1  /  14.8  /  4.8 ,49.9%,11.2%,235,0.1%,"18,483"
2,3,Raze,0.96, 14.5  /  15.1  /  5 ,48.7%,6.7%,220,0.1%,"11,051"
3,4,Killjoy,0.93, 12.8  /  13.8  /  4.3 ,51.9%,6.6%,190,0.2%,"10,949"
4,5,Jett,1, 15.1  /  15.1  /  4.1 ,49.3%,5.6%,220,0.1%,"9,297"
5,6,Omen,0.91, 13.6  /  14.9  /  5.4 ,47.3%,5.6%,196,0.1%,"9,277"
6,7,Brimstone,0.92, 13.3  /  14.4  /  6.8 ,50.6%,5.5%,196,0.1%,"9,136"
7,8,Fade,0.84, 12.3  /  14.7  /  6.1 ,47.0%,4.7%,182,0.1%,"7,771"
8,9,Viper,0.9, 12.8  /  14.3  /  5.2 ,49.5%,4.2%,188,0.1%,"6,986"
9,10,Neon,0.96, 14.7  /  15.4  /  4.3 ,49.0%,4.0%,216,0.1%,"6,685"
10,11,Skye,0.85, 12.4  /  14.6  /  7.3 ,49.9%,4.0%,183,0.1%,"6,558"
11,12,Phoenix,1.01, 14.9  /  14.7  /  4.6 ,49.8%,3.9%,219,0.1%,"6,452"
12,13,Gekko,0.89, 12.9  /  14.6  /  4.9 ,51.8%,3.8%,186,0.1%,"6,261"
13,14,Yoru,0.93, 13.8  /  14.9  /  4.3 ,47.6%,3.6%,201,0.1%,"5,922"
14,15,Sova,0.87, 12.8  /  14.7  /  5.3 ,48.6%,3.5%,188,0.1%,"5,740"
15,16,KAY/O,0.84, 12.6  /  15  /  8 ,48.4%,3.4%,189,0.1%,"5,698"
16,17,Breach,0.87, 13.1  /  15  /  5.8 ,48.8%,3.4%,191,0.1%,"5,694"
17,18,Cypher,0.92, 13  /  14.2  /  5 ,47.6%,3.1%,187,0.1%,"5,212"
18,19,Chamber,0.98, 14.5  /  14.7  /  3.5 ,46.0%,2.1%,205,0.1%,"3,560"
19,20,Harbor,0.85, 12.5  /  14.6  /  5.4 ,49.0%,1.3%,183,0.1%,"2,230"
20,21,Astra,0.94, 13.6  /  14.4  /  5.3 ,47.3%,0.7%,194,0.2%,"1,189"
