,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.86, 12.3  /  14.4  /  6.7 ,50.2%,12.5%,179,0.1%,"34,523",Sentinel
1,2,Reyna,1.14, 16.9  /  14.8  /  4.7 ,50.3%,11.7%,245,0.1%,"32,474",Duelist
2,3,Killjoy,0.96, 13.3  /  13.9  /  4.3 ,49.9%,6.7%,196,0.2%,"18,639",Sentinel
3,4,Raze,1.0, 15.2  /  15.1  /  4.9 ,49.3%,6.7%,227,0.1%,"18,485",Duelist
4,5,Jett,1.05, 15.8  /  15.1  /  4 ,49.0%,6.4%,229,0.1%,"17,677",Duelist
5,6,Brimstone,0.95, 13.7  /  14.4  /  7 ,51.4%,6.2%,201,0.1%,"17,106",Controller
6,7,Omen,0.93, 13.8  /  14.8  /  5.4 ,47.7%,5.7%,198,0.1%,"15,763",Controller
7,8,Fade,0.89, 13  /  14.6  /  6.1 ,49.4%,4.7%,190,0.1%,"12,995",Initiator
8,9,Breach,0.92, 13.8  /  15  /  5.9 ,50.2%,4.4%,200,0.1%,"12,192",Initiator
9,10,Skye,0.9, 13.1  /  14.5  /  7.2 ,49.7%,4.4%,191,0.1%,"12,077",Initiator
10,11,Viper,0.92, 13.3  /  14.4  /  5.3 ,48.0%,4.3%,193,0.1%,"11,888",Controller
11,12,Phoenix,1.03, 15.3  /  14.8  /  4.5 ,48.6%,4.0%,223,0.1%,"11,090",Duelist
12,13,Neon,0.97, 15.1  /  15.5  /  4.3 ,49.4%,3.9%,221,0.1%,"10,911",Duelist
13,14,KAY/O,0.86, 13  /  15.1  /  8.2 ,46.4%,3.6%,193,0.1%,"10,052",Initiator
14,15,Sova,0.91, 13.3  /  14.5  /  5.2 ,47.7%,3.6%,195,0.1%,"10,036",Initiator
15,16,Cypher,0.95, 13.4  /  14.2  /  5 ,48.5%,3.3%,193,0.1%,"9,188",Sentinel
16,17,Yoru,0.94, 14.1  /  15.1  /  4.3 ,44.4%,2.9%,205,0.1%,"8,143",Duelist
17,18,Chamber,1.0, 14.6  /  14.5  /  3.5 ,48.4%,2.6%,207,0.1%,"7,100",Sentinel
18,19,Harbor,0.86, 12.8  /  14.8  /  5.4 ,47.0%,1.3%,186,0.1%,"3,672",Controller
19,20,Astra,0.97, 13.8  /  14.2  /  5.1 ,49.5%,0.9%,199,0.2%,"2,424",Controller
