,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.86, 12.5  /  14.5  /  6.6 ,49.9%,13.5%,181,0.1%,"27,574"
1,2,Reyna,1.12, 16.8  /  15.1  /  4.5 ,50.5%,11.2%,242,0.1%,"22,962"
2,3,Viper,0.95, 13.7  /  14.4  /  5.4 ,50.7%,7.1%,197,0.1%,"14,424"
3,4,Jett,1.05, 16.1  /  15.3  /  4 ,49.9%,7.1%,234,0.1%,"14,418"
4,5,Killjoy,0.96, 13.3  /  13.9  /  4.1 ,51.0%,6.6%,195,0.2%,"13,413"
5,6,Raze,1, 15.2  /  15.3  /  4.7 ,49.9%,6.2%,225,0.1%,"12,731"
6,7,Omen,0.95, 14.3  /  15.1  /  5 ,47.4%,6.1%,206,0.1%,"12,372"
7,8,Sova,0.93, 13.5  /  14.5  /  5.1 ,48.7%,6.0%,195,0.1%,"12,183"
8,9,Gekko,0.91, 13.4  /  14.7  /  4.7 ,50.5%,4.4%,191,0.1%,"8,907"
9,10,Fade,0.89, 13.3  /  14.9  /  6.2 ,48.9%,3.8%,193,0.1%,"7,676"
10,11,Phoenix,1.02, 15.3  /  15  /  4.3 ,48.0%,3.5%,221,0.1%,"7,169"
11,12,KAY/O,0.88, 13.3  /  15.1  /  8.1 ,46.5%,3.5%,197,0.1%,"7,120"
12,13,Brimstone,0.92, 13.5  /  14.7  /  6.2 ,48.9%,3.5%,199,0.1%,"7,102"
13,14,Skye,0.88, 13  /  14.7  /  7.1 ,49.6%,3.3%,190,0.1%,"6,722"
14,15,Neon,0.96, 15  /  15.7  /  4.2 ,47.5%,3.3%,219,0.1%,"6,697"
15,16,Yoru,0.95, 14.5  /  15.3  /  4.1 ,46.5%,3.1%,207,0.1%,"6,372"
16,17,Chamber,1.03, 15  /  14.5  /  3.3 ,46.4%,2.5%,211,0.1%,"5,023"
17,18,Cypher,0.93, 13.4  /  14.4  /  4.8 ,47.0%,2.1%,190,0.2%,"4,331"
18,19,Breach,0.9, 13.6  /  15.1  /  5.6 ,48.6%,1.4%,196,0.1%,"2,912"
19,20,Harbor,0.85, 12.8  /  15  /  5.5 ,46.5%,1.4%,185,0.1%,"2,760"
20,21,Astra,1, 14.6  /  14.6  /  4.8 ,48.1%,0.6%,206,0.1%,"1,253"
