,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.87, 12.6  /  14.4  /  6.9 ,50.5%,12.3%,182,0.1%,"37,455",Sentinel
1,2,Reyna,1.17, 17.5  /  15  /  4.8 ,51.2%,12.2%,251,0.1%,"37,178",Duelist
2,3,Jett,1.09, 16.5  /  15.2  /  4 ,49.4%,7.5%,236,0.1%,"22,768",Duelist
3,4,Killjoy,0.99, 13.6  /  13.8  /  4.3 ,50.8%,6.3%,199,0.2%,"19,202",Sentinel
4,5,Raze,1.02, 15.7  /  15.3  /  5 ,50.1%,6.1%,232,0.1%,"18,659",Duelist
5,6,Fade,0.93, 13.8  /  14.7  /  6.3 ,50.5%,5.8%,198,0.1%,"17,702",Initiator
6,7,Omen,0.97, 14.5  /  14.9  /  5.7 ,48.4%,5.5%,206,0.1%,"16,848",Controller
7,8,Viper,0.96, 13.7  /  14.4  /  5.7 ,49.3%,5.4%,199,0.1%,"16,636",Controller
8,9,Brimstone,0.96, 13.9  /  14.5  /  7.2 ,49.9%,4.6%,204,0.1%,"13,918",Controller
9,10,Skye,0.91, 13.4  /  14.8  /  7.6 ,48.2%,4.3%,195,0.1%,"13,112",Initiator
10,11,Phoenix,1.08, 16.1  /  14.9  /  4.7 ,49.2%,4.0%,234,0.1%,"12,320",Duelist
11,12,Sova,0.96, 13.8  /  14.4  /  5.4 ,50.1%,4.0%,201,0.1%,"12,132",Initiator
12,13,KAY/O,0.89, 13.6  /  15.2  /  8.1 ,46.7%,3.8%,200,0.1%,"11,545",Initiator
13,14,Cypher,0.97, 13.7  /  14.1  /  5.1 ,49.5%,3.5%,194,0.2%,"10,801",Sentinel
14,15,Neon,1.01, 15.8  /  15.6  /  4.4 ,48.7%,3.2%,229,0.1%,"9,756",Duelist
15,16,Chamber,1.06, 15.2  /  14.4  /  3.5 ,48.4%,3.1%,214,0.1%,"9,481",Sentinel
16,17,Yoru,0.99, 15  /  15.3  /  4.4 ,46.9%,2.7%,215,0.1%,"8,331",Duelist
17,18,Harbor,0.85, 12.8  /  15  /  5.8 ,46.5%,2.2%,184,0.1%,"6,603",Controller
18,19,Breach,0.92, 14.1  /  15.3  /  6.1 ,48.9%,2.0%,201,0.1%,"6,096",Initiator
19,20,Astra,1.03, 14.4  /  14  /  5.6 ,50.7%,1.6%,203,0.1%,"4,935",Controller
