,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.17, 17.7  /  15.1  /  4.5 ,50.8%,11.9%,250,0.2%,"479,430"
1,2,Omen,0.98, 14.6  /  14.9  /  6.2 ,49.2%,8.9%,205,0.1%,"360,160"
2,3,Sage,0.9, 13.1  /  14.6  /  6.9 ,50.3%,8.7%,187,0.1%,"351,477"
3,4,Raze,1.05, 16.2  /  15.4  /  5.2 ,50.7%,7.6%,241,0.2%,"306,049"
4,5,Jett,1.1, 16.9  /  15.4  /  3.9 ,49.8%,7.5%,239,0.2%,"302,361"
5,6,Skye,0.92, 13.5  /  14.8  /  7.8 ,49.5%,6.2%,193,0.1%,"248,390"
6,7,Deadlock,0.97, 14.4  /  14.8  /  4 ,49.2%,5.3%,208,0.1%,"213,509"
7,8,Killjoy,0.98, 13.9  /  14.1  /  3.9 ,50.5%,5.2%,197,0.1%,"209,570"
8,9,Brimstone,0.96, 14.1  /  14.7  /  7.6 ,50.4%,4.6%,205,0.1%,"186,951"
9,10,Gekko,0.92, 13.6  /  14.9  /  4.8 ,50.2%,4.5%,191,0.1%,"182,448"
10,11,Chamber,1.09, 15.8  /  14.5  /  3.2 ,50.0%,3.6%,218,0.2%,"145,007"
11,12,Phoenix,1.1, 16.5  /  15  /  4.6 ,50.4%,3.4%,235,0.2%,"139,108"
12,13,Breach,0.94, 14.2  /  15.1  /  6.3 ,49.7%,3.3%,201,0.1%,"133,963"
13,14,Fade,0.91, 13.6  /  14.9  /  6.2 ,49.4%,2.5%,193,0.1%,"102,784"
14,15,Viper,0.98, 14.2  /  14.6  /  5.5 ,49.2%,2.5%,203,0.1%,"101,151"
15,16,Neon,1, 15.9  /  15.8  /  4.3 ,48.8%,2.5%,228,0.2%,"100,340"
16,17,Cypher,0.99, 14.1  /  14.3  /  4.7 ,49.0%,2.5%,197,0.1%,"99,746"
17,18,Sova,0.95, 14  /  14.7  /  5.4 ,48.9%,2.3%,201,0.1%,"94,553"
18,19,KAY/O,0.89, 13.6  /  15.2  /  8.5 ,46.5%,2.3%,198,0.1%,"92,066"
19,20,Yoru,0.98, 15  /  15.3  /  4.3 ,46.6%,1.9%,213,0.1%,"78,169"
20,21,Harbor,0.9, 13.6  /  15  /  5.8 ,47.1%,1.4%,192,0.1%,"54,988"
21,22,Astra,1.03, 14.8  /  14.4  /  5.6 ,49.9%,1.3%,206,0.1%,"51,776"
