,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,15.3,0.3,21.0%,72.5%,6.6%,125.8
1,2,Phantom,7.7,0.1,19.1%,73.8%,7.1%,122.5
2,3,Operator,3.5,0,9.3%,86.5%,4.2%,146
3,4,Spectre,2.9,0,17.2%,74.3%,8.5%,93
4,5,Odin,2.5,1.7,12.7%,69.8%,17.5%,112
5,6,Ghost,2.5,0,25.0%,70.3%,4.7%,88
6,7,Stinger,2,0.1,16.3%,73.8%,9.9%,97.2
7,8,Frenzy,1.8,0,20.6%,73.8%,5.7%,82.8
8,9,Judge,1.7,0,14.1%,73.7%,12.2%,98.3
9,10,Classic,1.6,0.7,20.9%,73.4%,5.6%,80.1
10,11,Sheriff,1.5,0,26.7%,68.8%,4.5%,108.8
11,12,Bucky,1.3,0.8,14.8%,74.2%,11.0%,93.9
12,13,Guardian,1.3,0.3,25.5%,70.4%,4.1%,139.7
13,14,Ares,1.2,0.7,11.0%,68.3%,20.6%,91
14,15,Bulldog,1.2,0.3,18.0%,74.7%,7.3%,105.6
15,16,Marshal,1,0,20.2%,76.1%,3.7%,118.5
16,17,Shorty,0.7,0,15.5%,73.9%,10.5%,87.7
